,id,title,release_year,age_certification,runtime,production_countries,imdb_score
0,tm84618,Taxi Driver,1976,R,114,['US'],8.2
1,tm154986,Deliverance,1972,R,109,['US'],7.7
2,tm127384,Monty Python and the Holy Grail,1975,PG,91,['GB'],8.2
3,tm120801,The Dirty Dozen,1967,,150,"['GB', 'US']",7.7
4,tm70993,Life of Brian,1979,R,94,['GB'],8.0
5,tm14873,Dirty Harry,1971,R,102,['US'],7.7
6,tm119281,Bonnie and Clyde,1967,R,110,['US'],7.7
7,tm98978,The Blue Lagoon,1980,R,104,['US'],5.8
8,tm44204,The Guns of Navarone,1961,,158,"['GB', 'US']",7.5
9,tm67378,The Professionals,1966,PG-13,117,['US'],7.3
10,tm69997,Richard Pryor: Live in Concert,1979,R,78,['US'],8.1
11,tm16479,White Christmas,1954,,115,['US'],7.5
12,tm135083,Cairo Station,1958,,77,['EG'],7.5
13,tm89386,Hitler: A Career,1977,PG,150,['DE'],7.5
14,tm156453,FTA,1972,R,97,['US'],6.2
15,tm14350,Alexandria… Why?,1979,,133,['EG'],7.2
16,tm81728,The Land,1969,,129,['EG'],8.1
17,tm94651,Dostana,1980,,161,['IN'],2.1
18,tm27298,Saladin the Victorious,1963,,186,['EG'],7.6
19,tm100027,Alibaba Aur 40 Chor,1979,,146,"['SU', 'IN']",6.2
20,tm19608,The Blazing Sun,1954,,100,['EG'],7.4
21,tm204541,Dark Waters,1956,,120,['EG'],6.7
22,tm259855,We Are All for the Fatherland,1979,,74,"['LB', 'CA', 'FR']",6.1
23,tm356209,Singapore,1960,,158,['IN'],6.4
24,tm200475,"Beirut, Oh Beirut",1975,,110,['LB'],6.4
25,tm90896,The Return of the Prodigal Son,1976,,124,"['DZ', 'EG']",7.2
26,tm336403,Khoon Khoon,1973,,131,['IN'],5.1
27,tm107372,Manoranjan,1974,,162,['IN'],6.5
28,tm358653,Ujala,1959,,142,['IN'],6.6
29,tm259684,Whispers,1980,,93,"['CA', 'FR', 'LB']",7.8
30,tm403346,Chadi Jawani Budhe Nu,1976,,135,['IN'],4.6
31,tm16812,Bandie,1978,,141,['IN'],4.4
32,tm155787,GoodFellas,1990,R,145,['US'],8.7
33,tm22327,Full Metal Jacket,1987,R,117,"['US', 'GB']",8.3
34,tm180542,Once Upon a Time in America,1984,R,139,"['US', 'IT']",8.3
35,tm138875,When Harry Met Sally...,1989,R,96,['US'],7.7
36,tm2386,A Nightmare on Elm Street,1984,R,91,"['GB', 'US']",7.4
37,tm133087,Steel Magnolias,1989,PG,119,['US'],7.3
38,tm177480,Police Academy,1984,R,97,['US'],6.7
39,tm54450,Christine,1983,R,110,['US'],6.7
40,tm145608,Awakenings,1990,PG-13,120,['US'],7.8
41,tm147710,National Lampoon's Christmas Vacation,1989,PG-13,97,['US'],7.5
42,tm142895,Lean On Me,1989,PG-13,105,['US'],7.4
43,tm20712,Eddie Murphy Raw,1987,R,90,['US'],7.6
44,tm117580,She's Gotta Have It,1986,R,84,['US'],6.7
