,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,crew
0,ts22164,Monty Python's Flying Circus,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,8.8,73424.0,"['Graham Chapman 11472 ACTOR', 'Michael Palin 11476 ACTOR', 'Terry Jones 11475 ACTOR', 'Eric Idle 11474 ACTOR', 'Terry Gilliam 11473 ACTOR']"
1,ts45948,Monty Python's Fliegender Zirkus,1972,TV-MA,43,['comedy'],[],1.0,8.1,2151.0,"['Graham Chapman 11472 ACTOR', 'John Cleese 1549 ACTOR', 'Eric Idle 11474 ACTOR', 'Terry Jones 11475 ACTOR', 'Michael Palin 11476 ACTOR', 'Ian MacNaughton 16383 DIRECTOR']"
2,ts20681,Seinfeld,1989,TV-PG,24,['comedy'],['US'],9.0,8.9,308824.0,"['Jerry Seinfeld 32954 ACTOR', 'Jason Alexander 12464 ACTOR', 'Michael Richards 43320 ACTOR', 'Julia Louis-Dreyfus 12018 ACTOR']"
3,ts22082,Knight Rider,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,6.9,34115.0,"['David Hasselhoff 8464 ACTOR', 'Edward Mulhare 63898 ACTOR', 'William Daniels 30068 ACTOR', 'Patricia McPherson 90786 ACTOR', 'Peter Parros 90788 ACTOR']"
4,ts21715,Thomas & Friends,1984,TV-Y,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],24.0,6.5,5104.0,['Rachael Louise Miller 1381431 ACTOR']
5,ts20678,Saved by the Bell,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,7.1,35034.0,"['Mark-Paul Gosselaar 49815 ACTOR', 'Mario López 201 ACTOR', 'Dustin Diamond 53237 ACTOR', 'Lark Voorhies 66271 ACTOR', 'Dennis Haskins 81048 ACTOR']"
6,ts25028,Wheel of Fortune,1983,TV-G,26,['family'],['US'],39.0,6.7,3145.0,"['Vanna White 129833 ACTOR', 'Pat Sajak 421000 ACTOR']"
7,ts23753,Major Dad,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,6.5,2922.0,"['Gerald McRaney 9835 ACTOR', 'Shanna Reed 192 ACTOR', 'Matt Mulhern 37759 ACTOR', 'Jon Cypher 66339 ACTOR', 'Beverly Archer 96173 ACTOR', 'Marisa Ryan 47978 ACTOR', 'Nicole Dubuc 38704 ACTOR', 'Chelsea Hertford 97165 ACTOR']"
8,ts987,Danger Mouse,1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10.0,7.4,3545.0,"['David Jason 43162 ACTOR', 'Terry Scott 99172 ACTOR', 'Edward Kelsey 18355 ACTOR', 'Brian Trueman 99173 ACTOR']"
9,ts2760,Fireman Sam,1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13.0,6.1,1785.0,"['Steven Kynman 114128 ACTOR', 'David Carling 114126 ACTOR', 'Su Douglas 114127 ACTOR', 'Tegwen Tucker 114129 ACTOR', 'Harriet Kershaw 730639 ACTOR', 'Alex Lowe 52151 ACTOR', 'Jo Wyatt 87165 ACTOR', 'Ifan Huw Dafydd 104901 ACTOR', 'John Hasler 285010 ACTOR', 'Nigel Whitmey 70378 ACTOR', 'Gary Andrews 277353 DIRECTOR']"
10,ts63001,High Risk,1988,TV-PG,50,['comedy'],['US'],1.0,3.8,6.0,['Wayne Rogers 115048 ACTOR']
11,ts20981,Survivor,2000,TV-PG,48,['reality'],['US'],42.0,7.4,24687.0,['Jeff Probst 91091 ACTOR']
12,ts22176,Stargate SG-1,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,8.4,90196.0,"['Ben Browder 12786 ACTOR', 'Amanda Tapping 48256 ACTOR', 'Christopher Judge 48258 ACTOR', 'Michael Shanks 21477 ACTOR', 'Claudia Black 36606 ACTOR', 'Beau Bridges 12421 ACTOR']"
